Median Vacant Land  Price - 2022,,,,,,,,,,,,,,,,
,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,prelim 2023,change,change,Growth PA,
locality,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,2021-2022,2012-2022,,
,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
AINTREE,-,-,-,197500,228000,280000,313000,329500,365000,388500,533000,445000,37,0,NA,
ALEXANDRA,93500,89000,85000,95000,88000,90000,89000,120000,140000,145000,207000,NA,43,121,8.3,
ALFREDTON,190000,170000,161000,180000,183500,152000,155000,170000,202500,250000,302500,290000,21,59,4.8,
ALTONA NORTH,250000,225000,302500,484000,416000,284500,392500,440000,731000,483500,935000,NA,93,274,14.1,
APOLLO BAY,197000,190000,185000,190000,182500,185000,225000,244000,250000,337500,525000,472500,56,166,10.3,
ARARAT,80000,70000,85000,83500,50000,97500,99500,87000,79000,157000,169000,144000,8,111,7.8,
ARMSTRONG CREEK,176000,169000,167500,172000,175000,198000,247000,265000,269000,290000,354500,380000,22,101,7.3,
AVENEL,77500,86500,105000,80000,105000,95500,135000,159500,169000,186500,250000,290000,34,223,12.4,
BACCHUS MARSH,155000,135000,150000,152000,148000,165000,212000,238000,270000,304000,340000,NA,12,119,8.2,
BAIRNSDALE,91500,98000,95000,100000,112000,110000,118000,117500,125000,152500,200000,NA,31,118,8.1,
BALLAN,120000,122500,115000,133000,135000,140000,185000,220000,239000,272500,292500,215000,7,144,9.3,
BALLARAT EAST,100000,129500,108000,108500,106000,142500,147500,200000,200000,233000,355000,NA,52,255,13.5,
BANNOCKBURN,139500,150000,149000,146000,155000,165000,215500,259500,244000,286500,362500,NA,27,160,10.0,
BARANDUDA,118000,115000,116500,130000,125000,129000,136500,145000,140000,158000,197000,225000,25,67,5.3,
BEACONSFIELD,248500,188500,162500,184000,205000,263000,277500,311500,326500,397500,525000,NA,32,111,7.8,
BEAUFORT,48000,48000,53000,51500,52000,59000,56000,75000,84000,89000,150000,100000,69,213,12.1,
BEECHWORTH,128000,130000,115000,115500,123000,130000,145000,175000,230000,282000,460000,NA,63,259,13.6,
BENALLA,88000,95000,88000,104000,100000,96500,113000,129000,137500,140000,175000,218500,25,99,7.1,
BENDIGO,160000,156000,132500,392500,252500,203500,288000,193500,273000,225000,320000,150000,42,100,7.2,
BERWICK,295000,255000,255000,289000,331000,385000,455000,430000,424000,424000,567000,565000,34,92,6.8,
BEVERIDGE,173500,156000,166000,182000,192000,255000,302000,292500,259000,280000,315000,307500,13,82,6.1,
BIRREGURRA,133500,127500,142000,109500,121500,160000,197500,221500,275000,349500,450000,375000,29,238,12.9,
BLAIRGOWRIE,351500,352000,367500,375000,505000,530000,655000,577500,790500,1100000,1409000,NA,28,301,14.9,
BONNIE BROOK,196500,-,-,-,-,350500,344000,315000,312500,330000,320000,430000,-3,63,5.0,
BONSHAW,-,-,110500,126000,129000,123000,132000,155000,186000,234500,308000,NA,31,0,NA,
BOTANIC RIDGE,257000,261500,245500,230000,254500,338000,382000,355000,390000,492000,552000,549500,12,115,7.9,
BROADFORD,107000,112000,117500,130000,125000,140000,147500,195000,239000,255000,290000,280000,14,171,10.5,
BROOKFIELD,150000,139500,130000,142000,150000,162000,218000,237500,273500,251000,181000,158500,-28,21,1.9,
BROWN HILL,160000,135000,152500,162500,180000,190000,182500,186000,221000,285000,395000,295000,39,147,9.5,
BUNDALONG,96000,95000,87000,102500,124000,138500,242000,160000,185000,295000,440000,NA,49,358,16.4,
BUNINYONG,177000,196000,195000,190000,192500,225000,232500,275000,296500,203500,435000,NA,114,146,9.4,
BUNYIP,187000,176500,171500,154000,180000,241500,275000,280000,340000,295000,420000,NA,42,125,8.4,
BURNSIDE,260000,295000,282500,302500,307500,416000,487000,454500,451500,474000,534000,742000,13,105,7.5,
CAIRNLEA,295000,324000,349000,339500,437500,480000,582000,642500,340000,330000,330000,NA,0,12,1.1,
CAMPBELLS CREEK,119000,126500,115000,119000,130000,135000,154500,200500,162000,236000,180000,287000,-24,51,4.2,
CANADIAN,140000,145000,162500,140000,109500,125000,145000,160000,180000,300000,320000,240000,7,129,8.6,
CAPE PATERSON,210500,215000,238500,224000,220000,280000,250000,250000,280000,362500,697500,1200000,92,231,12.7,
CARDIGAN,-,170000,205000,210000,220000,220000,210000,277500,342000,520000,596500,610000,15,0,NA,
CARISBROOK,-,63000,60000,59000,142500,56500,65000,52500,71500,90000,173000,NA,92,0,NA,
CARRUM DOWNS,207500,206000,209000,225000,235000,300500,371000,370000,277500,386500,399000,NA,3,92,6.8,
CASTLEMAINE,139500,139000,130000,130000,150000,181000,190000,267500,240000,321000,312500,365000,-3,124,8.4,
CHARLEMONT,-,50000,50000,145000,161000,176500,214000,228000,249000,279500,340000,323000,22,0,NA,
CHEWTON,107500,123000,130000,105000,158500,127500,154000,179500,180000,200000,190000,340000,-5,77,5.9,
CHIRNSIDE PARK,257000,281500,289500,315500,408000,471500,520000,405000,530000,550000,382500,350000,-30,49,4.1,
CHURCHILL,110000,117500,122500,124000,144000,151500,139500,105000,110000,112000,159000,180000,42,45,3.8,
CLIFTON SPRINGS,175000,169000,165000,175000,177000,182000,210000,280000,285000,304000,520000,NA,71,197,11.5,
CLUNES,64500,76500,79000,61000,83500,81500,120000,96500,150000,172500,210000,207000,22,226,12.5,
CLYDE,200000,195000,186000,208000,221000,277000,325000,310000,305000,323000,361000,395000,12,81,6.1,
CLYDE NORTH,210000,204000,220000,230000,243000,300000,337500,314500,316000,357000,415000,410000,16,98,7.0,
COBBLEBANK,155000,136500,140000,140000,161000,187000,183000,252000,273000,273000,308500,241000,13,99,7.1,
COBRAM,70000,86000,75000,78000,80500,81500,100500,104500,114500,152500,165000,196000,8,136,9.0,
COHUNA,62000,111500,63000,84000,97500,119000,120000,196500,85000,88500,345000,280000,290,456,18.7,
COLAC,92000,99000,99000,99000,97000,110000,150000,147500,155000,200000,305000,NA,53,232,12.7,
CONNEWARRE,395000,395000,370000,380000,377500,415000,480000,545000,585000,605000,1010000,NA,67,156,9.8,
CORINELLA,174000,165000,150000,149000,143000,145000,185000,200000,230000,286000,420000,447500,47,141,9.2,
CORIO,188000,194000,126500,170000,152000,148000,174000,217500,268000,296000,317000,335000,7,69,5.4,
CORONET BAY,120000,104000,139000,133500,135000,149000,245000,269000,275000,321000,510000,347500,59,325,15.6,
COWES WEST,145000,133500,140000,140000,145000,163000,237500,240000,256000,341000,580000,830000,70,300,14.9,
CRAIGIEBURN,190000,195000,208000,230000,247500,303500,344000,279000,329000,373000,417500,352500,12,120,8.2,
CRANBOURNE,177000,178000,180000,214000,210500,325000,381000,346000,326500,307000,433000,690000,41,144,9.4,
