Suburb,Avg House Price
Moorabool Shire Council,414400
Melton City Council,516058.4362
Mitchell Shire Council,523363.6364
Wyndham City Council,564170.813
Cardinia Shire Council,572923.0769
Hume City Council,593514.9015
Whittlesea City Council,622899.6417
Brimbank City Council,682181.91
Casey City Council,683237.3768
Greater Dandenong City Council,693261.7225
Frankston City Council,697924.0742
Nillumbik Shire Council,724076.9231
Macedon Ranges Shire Council,759782.0513
Yarra Ranges Shire Council,761098.338
Maribyrnong City Council,829902.2269
Moreland City Council,850796.3385
Knox City Council,886031.1533
Darebin City Council,902318.4759
Maroondah City Council,902890.2725
Banyule City Council,936368.9053
Kingston City Council,957965.9673
Hobsons Bay City Council,995683.7297
Moonee Valley City Council,1034894.381
Melbourne City Council,1041895.842
Yarra City Council,1103284.978
Glen Eira City Council,1116693.082
Port Phillip City Council,1151696.743
Whitehorse City Council,1173890.979
Monash City Council,1198602.853
Manningham City Council,1233888.625
Bayside City Council,1574122.416
Stonnington City Council,1575998.821
Boroondara City Council,1667326.002
