Distance,h,t,u
0,,,858387.931
0.7,,,690934.7826
1.2,911666.6667,,609257.5758
1.3,3091666.667,1350000,826950
1.4,,,612500
1.5,2800833.333,,861250
1.6,1488956.897,1093705.556,770395.5224
1.8,1527448.936,924416.6667,706173.3871
1.9,1720418.182,1189692.308,782500
2,1235607.143,810333.3333,720416.6667
2.1,1672451.389,1075571.429,752910
2.3,1343058.824,982600,540459.0313
2.4,1411922.018,1296473.684,590633.1461
2.5,1199111.111,955666.6667,573000
2.6,1411125.786,1077652.174,621284.8958
2.7,1872782.051,1362400,777484.5361
2.8,1630000,,691141.3043
3,2108793.75,1409250,759434.7826
3.1,1641666.667,1212750,639850
3.2,1705338.71,765000,636250
3.3,2018383.696,1648750,663482.2464
3.4,1273157.895,856800,481019.3043
3.5,1566606.121,1369500,851518.7568
3.6,1577612.903,1042100,625669.6429
3.7,1564500,,
3.8,1477467.532,1098000,865570.3125
4,1174025,828666.6667,492675
4.1,2645942.857,1681666.667,898897.9592
4.2,1103721.154,723190.4762,457799.7297
4.3,1261100.84,823102.5641,499815.7895
4.4,1003234.375,621500,412675
4.5,1327643.617,1026062.5,568747.4359
4.6,2246163.522,1656342.105,657091.7477
5,1678521.739,830000,597600.5747
5.1,1107572.115,747852.9412,490033.7838
5.2,1185032.333,758983.0508,500655.5118
5.3,1731701.97,1003100,611757.9365
5.4,2318317.204,1145200,718333.3333
5.5,1426062.5,856384.6154,496977.9412
5.6,2362718.182,964535.7143,690146.3415
5.7,1564446.809,910000,567208.3333
5.8,1339125,825500,538376.9231
5.9,1510696.133,851479.1667,552642.8571
6.1,1709234.043,1257333.333,560561.9718
6.2,1409839.512,981000,590589.5897
6.3,1755572.785,1077333.333,670074.9875
6.4,1004902.774,725087.8378,433351.9231
6.5,1185572.811,923954.5455,459494.6809
6.6,1052041.667,830000,472047.619
6.7,1001496.732,743055.5556,528225
6.8,1542616.438,892500,543300
6.9,1318344.944,923416.6667,555857.1429
7,1109341.969,832026.3158,497119.4651
7.2,1894846.154,1302800,653456.9892
7.3,2010492.188,1289947.368,689431.0345
7.4,2614250,911250,721516.6667
7.5,1735518.1,1150776.316,595808.8235
7.7,1952730.769,1374928.571,698850.8839
7.8,1539504.686,868930.7692,648518.617
7.9,2010534.615,1106703.704,713302.0833
8,1396980.556,892615.3846,535149.3506
8.1,1901500,1610000,628200
8.2,1107214.286,807266.6667,544346.1538
8.4,1455718.3,831635.4167,679590.4762
8.5,1140461.905,708950,584614.5833
8.6,809100,652833.3333,480750
8.7,1173569.977,675428.5714,513741.9355
8.8,892407.3077,669715.25,525673.0769
8.9,1237534.194,828875,621076.9231
9,2636218.75,1580000,835576.9231
9.1,1270963.235,867200,522384.6154
9.2,1575343.678,881970,610516.3934
9.3,1315769.231,1225000,580000
9.4,794191.4414,740233.3333,528373.6842
9.5,877013.5135,835000,642571.4286
9.7,1879255.597,1205487.179,874195.122
9.8,1181416.667,818500,445600
9.9,844712.2642,577175,494525
10.1,1446677.587,1041464.286,592708.4524
10.2,1879405,1197500,809433.0256
10.3,1943528.571,1374304.348,799178.5714
10.4,1121058.652,871176.4706,616166.6667
10.5,1150664.031,1180895.439,771243.5065
10.6,1146500,654000,625500
10.7,1756252.294,1318425.926,820500
10.8,1010160.256,739580,672312.5
10.9,1610984,559999.8889,536250
11,1449731.959,1100187.5,655171.875
11.1,783007.3529,641818.1818,550666.6667
11.2,1238193.477,863412.7175,617763.2035
11.4,1416127.727,1121883,570518.4
11.5,891023.1389,640617.8571,552350
11.7,1093591.124,923002.8571,676720
11.8,1452809.16,1080280.952,642358.6957
12,836202.0455,609928.26,519443.625
12.1,893013.3054,723781.25,541261.3636
12.2,1197584.848,987875,736888.8889
12.3,1196225,914250,725000
12.4,1104141.148,859586.2069,728565.2174
12.5,861499.875,,750000
12.6,729130.1979,493333.3333,439312.5
12.7,944931.0345,789681.8182,677794.1176
12.8,773634.8624,694000,540428.5714
12.9,691984.2105,567857.1429,461884.6154
13,1021014.742,826272.8642,592931.8182
13.1,998450.9615,672375,561289.4737
13.3,647001.4085,420000,419875
13.4,1309291.667,957653.8462,798150
13.5,647491.0569,599777.7778,498604.1667
13.6,905630.4348,860583.3333,748583.3333
13.7,1876703.947,1421184.211,764250
13.8,1342612.67,1155677.311,697538.1944
13.9,1171676.647,1035647.837,641520
14,668281.5632,492043.4783,507138.8889
14.2,1486237.121,1149350,831476.1905
14.3,1337703.361,1068048.387,778111.1111
14.5,795820.155,978195.6522,610846.1538
14.6,1044542.453,850142.8571,608176.4706
14.7,785869.5048,685333.3333,551238.0952
14.8,647705.0505,480300,450000
14.9,767225,485000,476166.6667
15,694625,465500,
15.2,1855000,1375818.182,768733.3333
15.3,696379.0323,406500,433650
15.4,1070681.25,1003947.5,689222.2222
15.5,998520.6962,953285.7143,541000
16,1349285.714,1061461.538,693500
16.1,988648.0263,834464.2857,639543.4783
16.2,936150,771333.3333,606642.8571
16.3,671981.0127,547625,407833.3333
16.5,690942.7083,540000,514666.6667
16.6,587888.8889,350000,
16.7,1368889.953,1021236.842,896527.027
17.2,1164803.967,874505.5556,764621.0526
17.3,1829733.333,1325583.333,752166.6667
17.4,505336.7347,371833.3333,405650
17.5,951629.7297,846000,619100
17.6,651000,475000,
17.9,862283.4237,844850,597468.75
18,790545.0773,613000,577804.5455
18.4,565740.7216,370000,400779.1667
18.7,831500,,522000
18.8,1088712.8,742000,687333.3333
19.6,614915.3846,428833.3333,407859.375
19.9,996335.8267,858571.4286,616444.4444
20,1219214.286,949814.8148,563350
20.1,1141000,,
20.4,777340.5797,484625,483500
20.5,653537.037,433250,407800
20.6,575154.6429,398041.6667,393000
20.8,836258.6207,685000,654875
21.1,1291117.647,,
21.3,988913.6615,780166.6667,625166.6667
21.5,1190006.466,913610.2941,592161.7647
21.8,781847.8261,648000,564500
22.2,928610.5263,771000,623071.4286
22.7,725454.5455,542000,488681.8182
22.9,665000,,
23,906346.8992,665000,618430.7692
23.2,784441.0256,715333.3333,576520
23.3,911400,,598432
23.5,925600,,
23.6,987500,,
23.8,600357.1429,,
24.7,695849.2308,,420738.0952
24.8,796563.5745,967500,573500
25,838340.5405,740000,658750
25.2,865589.2857,688000,
25.5,608657.4468,422500,390000
25.9,601774,482500,530000
26,751705.8824,,595000
26.1,695000,,
26.5,767189.1892,665000,
27,928402.7143,868500,649714.2857
27.1,763664.6667,,
27.2,514650,,371000
