Distance,Type,Average_Price,Average_Price_rounded
0,Unit,858387.931,858388
0.7,Home,,0
0.7,Unit,690934.7826,690935
1.2,Home,911666.6667,911667
1.2,Unit,609257.5758,609258
1.3,Home,3091666.667,3091667
1.3,Townhouse,1350000,1350000
1.3,Unit,826950,826950
1.4,Home,,0
1.4,Unit,612500,612500
1.5,Home,2800833.333,2800833
1.5,Townhouse,,0
1.5,Unit,861250,861250
1.6,Home,1488956.897,1488957
1.6,Townhouse,1093705.556,1093706
1.6,Unit,770395.5224,770396
1.8,Home,1527448.936,1527449
1.8,Townhouse,924416.6667,924417
1.8,Unit,706173.3871,706173
1.9,Home,1720418.182,1720418
1.9,Townhouse,1189692.308,1189692
1.9,Unit,782500,782500
2,Home,1235607.143,1235607
2,Townhouse,810333.3333,810333
2,Unit,720416.6667,720417
2.1,Home,1672451.389,1672451
2.1,Townhouse,1075571.429,1075571
2.1,Unit,752910,752910
2.3,Home,1343058.824,1343059
2.3,Townhouse,982600,982600
2.3,Unit,540459.0313,540459
2.4,Home,1411922.018,1411922
2.4,Townhouse,1296473.684,1296474
2.4,Unit,590633.1461,590633
2.5,Home,1199111.111,1199111
2.5,Townhouse,955666.6667,955667
2.5,Unit,573000,573000
2.6,Home,1411125.786,1411126
2.6,Townhouse,1077652.174,1077652
2.6,Unit,621284.8958,621285
2.7,Home,1872782.051,1872782
2.7,Townhouse,1362400,1362400
2.7,Unit,777484.5361,777485
2.8,Home,1630000,1630000
2.8,Unit,691141.3043,691141
3,Home,2108793.75,2108794
3,Townhouse,1409250,1409250
3,Unit,759434.7826,759435
3.1,Home,1641666.667,1641667
3.1,Townhouse,1212750,1212750
3.1,Unit,639850,639850
3.2,Home,1705338.71,1705339
3.2,Townhouse,765000,765000
3.2,Unit,636250,636250
3.3,Home,2018383.696,2018384
3.3,Townhouse,1648750,1648750
3.3,Unit,663482.2464,663482
3.4,Home,1273157.895,1273158
3.4,Townhouse,856800,856800
3.4,Unit,481019.3043,481019
3.5,Home,1566606.121,1566606
3.5,Townhouse,1369500,1369500
3.5,Unit,851518.7568,851519
3.6,Home,1577612.903,1577613
3.6,Townhouse,1042100,1042100
3.6,Unit,625669.6429,625670
3.7,Home,1564500,1564500
3.8,Home,1477467.532,1477468
3.8,Townhouse,1098000,1098000
3.8,Unit,865570.3125,865570
4,Home,1174025,1174025
4,Townhouse,828666.6667,828667
4,Unit,492675,492675
4.1,Home,2645942.857,2645943
4.1,Townhouse,1681666.667,1681667
4.1,Unit,898897.9592,898898
4.2,Home,1103721.154,1103721
4.2,Townhouse,723190.4762,723190
4.2,Unit,457799.7297,457800
4.3,Home,1261100.84,1261101
4.3,Townhouse,823102.5641,823103
4.3,Unit,499815.7895,499816
4.4,Home,1003234.375,1003234
4.4,Townhouse,621500,621500
4.4,Unit,412675,412675
4.5,Home,1327643.617,1327644
4.5,Townhouse,1026062.5,1026063
4.5,Unit,568747.4359,568747
4.6,Home,2246163.522,2246164
4.6,Townhouse,1656342.105,1656342
4.6,Unit,657091.7477,657092
5,Home,1678521.739,1678522
5,Townhouse,830000,830000
5,Unit,597600.5747,597601
5.1,Home,1107572.115,1107572
5.1,Townhouse,747852.9412,747853
5.1,Unit,490033.7838,490034
5.2,Home,1185032.333,1185032
5.2,Townhouse,758983.0508,758983
5.2,Unit,500655.5118,500656
5.3,Home,1731701.97,1731702
5.3,Townhouse,1003100,1003100
5.3,Unit,611757.9365,611758
5.4,Home,2318317.204,2318317
5.4,Townhouse,1145200,1145200
5.4,Unit,718333.3333,718333
5.5,Home,1426062.5,1426063
5.5,Townhouse,856384.6154,856385
5.5,Unit,496977.9412,496978
5.6,Home,2362718.182,2362718
5.6,Townhouse,964535.7143,964536
5.6,Unit,690146.3415,690146
5.7,Home,1564446.809,1564447
5.7,Townhouse,910000,910000
5.7,Unit,567208.3333,567208
5.8,Home,1339125,1339125
5.8,Townhouse,825500,825500
5.8,Unit,538376.9231,538377
5.9,Home,1510696.133,1510696
5.9,Townhouse,851479.1667,851479
5.9,Unit,552642.8571,552643
6.1,Home,1709234.043,1709234
6.1,Townhouse,1257333.333,1257333
6.1,Unit,560561.9718,560562
6.2,Home,1409839.512,1409840
6.2,Townhouse,981000,981000
6.2,Unit,590589.5897,590590
6.3,Home,1755572.785,1755573
6.3,Townhouse,1077333.333,1077333
6.3,Unit,670074.9875,670075
6.4,Home,1004902.774,1004903
6.4,Townhouse,725087.8378,725088
6.4,Unit,433351.9231,433352
6.5,Home,1185572.811,1185573
6.5,Townhouse,923954.5455,923955
6.5,Unit,459494.6809,459495
6.6,Home,1052041.667,1052042
6.6,Townhouse,830000,830000
6.6,Unit,472047.619,472048
6.7,Home,1001496.732,1001497
6.7,Townhouse,743055.5556,743056
6.7,Unit,528225,528225
6.8,Home,1542616.438,1542616
