locality,locality_uncapitalised,Median Home Prices,2018 Median,2019 Median,2020 Median,2021 Median,2022 Median,change 2021-2022,Growth PA
AINTREE,Aintree,365000,313000,329500,365000,388500,533000,37,NA
ALEXANDRA,Alexandra,140000,89000,120000,140000,145000,207000,43,8.3
ALFREDTON,Alfredton,202500,155000,170000,202500,250000,302500,21,4.8
ALTONA NORTH,Altona North,483500,392500,440000,731000,483500,935000,93,14.1
APOLLO BAY,Apollo Bay,250000,225000,244000,250000,337500,525000,56,10.3
ARARAT,Ararat,99500,99500,87000,79000,157000,169000,8,7.8
ARMSTRONG CREEK,Armstrong Creek,269000,247000,265000,269000,290000,354500,22,7.3
AVENEL,Avenel,169000,135000,159500,169000,186500,250000,34,12.4
BACCHUS MARSH,Bacchus Marsh,270000,212000,238000,270000,304000,340000,12,8.2
BAIRNSDALE,Bairnsdale,125000,118000,117500,125000,152500,200000,31,8.1
BALLAN,Ballan,239000,185000,220000,239000,272500,292500,7,9.3
BALLARAT EAST,Ballarat East,200000,147500,200000,200000,233000,355000,52,13.5
BANNOCKBURN,Bannockburn,259500,215500,259500,244000,286500,362500,27,10
BARANDUDA,Baranduda,145000,136500,145000,140000,158000,197000,25,5.3
BEACONSFIELD,Beaconsfield,326500,277500,311500,326500,397500,525000,32,7.8
BEAUFORT,Beaufort,84000,56000,75000,84000,89000,150000,69,12.1
BEECHWORTH,Beechworth,230000,145000,175000,230000,282000,460000,63,13.6
BENALLA,Benalla,137500,113000,129000,137500,140000,175000,25,7.1
BENDIGO,Bendigo,273000,288000,193500,273000,225000,320000,42,7.2
BERWICK,Berwick,430000,455000,430000,424000,424000,567000,34,6.8
BEVERIDGE,Beveridge,292500,302000,292500,259000,280000,315000,13,6.1
BIRREGURRA,Birregurra,275000,197500,221500,275000,349500,450000,29,12.9
BLAIRGOWRIE,Blairgowrie,790500,655000,577500,790500,1100000,1409000,28,14.9
BONNIE BROOK,Bonnie Brook,320000,344000,315000,312500,330000,320000,-3,5
BONSHAW,Bonshaw,186000,132000,155000,186000,234500,308000,31,NA
BOTANIC RIDGE,Botanic Ridge,390000,382000,355000,390000,492000,552000,12,7.9
BROADFORD,Broadford,239000,147500,195000,239000,255000,290000,14,10.5
BROOKFIELD,Brookfield,237500,218000,237500,273500,251000,181000,-28,1.9
BROWN HILL,Brown Hill,221000,182500,186000,221000,285000,395000,39,9.5
BUNDALONG,Bundalong,242000,242000,160000,185000,295000,440000,49,16.4
BUNINYONG,Buninyong,275000,232500,275000,296500,203500,435000,114,9.4
BUNYIP,Bunyip,295000,275000,280000,340000,295000,420000,42,8.4
BURNSIDE,Burnside,474000,487000,454500,451500,474000,534000,13,7.5
CAIRNLEA,Cairnlea,340000,582000,642500,340000,330000,330000,0,1.1
CAMPBELLS CREEK,Campbells Creek,180000,154500,200500,162000,236000,180000,-24,4.2
CANADIAN,Canadian,180000,145000,160000,180000,300000,320000,7,8.6
CAPE PATERSON,Cape Paterson,280000,250000,250000,280000,362500,697500,92,12.7
CARDIGAN,Cardigan,342000,210000,277500,342000,520000,596500,15,NA
CARISBROOK,Carisbrook,71500,65000,52500,71500,90000,173000,92,NA
CARRUM DOWNS,Carrum Downs,371000,371000,370000,277500,386500,399000,3,6.8
CASTLEMAINE,Castlemaine,267500,190000,267500,240000,321000,312500,-3,8.4
CHARLEMONT,Charlemont,249000,214000,228000,249000,279500,340000,22,NA
CHEWTON,Chewton,180000,154000,179500,180000,200000,190000,-5,5.9
CHIRNSIDE PARK,Chirnside Park,520000,520000,405000,530000,550000,382500,-30,4.1
CHURCHILL,Churchill,112000,139500,105000,110000,112000,159000,42,3.8
CLIFTON SPRINGS,Clifton Springs,285000,210000,280000,285000,304000,520000,71,11.5
CLUNES,Clunes,150000,120000,96500,150000,172500,210000,22,12.5
CLYDE,Clyde,323000,325000,310000,305000,323000,361000,12,6.1
CLYDE NORTH,Clyde North,337500,337500,314500,316000,357000,415000,16,7
COBBLEBANK,Cobblebank,273000,183000,252000,273000,273000,308500,13,7.1
COBRAM,Cobram,114500,100500,104500,114500,152500,165000,8,9
COHUNA,Cohuna,120000,120000,196500,85000,88500,345000,290,18.7
COLAC,Colac,155000,150000,147500,155000,200000,305000,53,12.7
CONNEWARRE,Connewarre,585000,480000,545000,585000,605000,1010000,67,9.8
CORINELLA,Corinella,230000,185000,200000,230000,286000,420000,47,9.2
CORIO,Corio,268000,174000,217500,268000,296000,317000,7,5.4
CORONET BAY,Coronet Bay,275000,245000,269000,275000,321000,510000,59,15.6
COWES WEST,Cowes West,256000,237500,240000,256000,341000,580000,70,14.9
CRAIGIEBURN,Craigieburn,344000,344000,279000,329000,373000,417500,12,8.2
CRANBOURNE,Cranbourne,346000,381000,346000,326500,307000,433000,41,9.4
CRANBOURNE EAST,Cranbourne East,315000,345000,295000,299000,315000,400000,27,6.7
CRANBOURNE SOUTH,Cranbourne South,322500,290000,325000,354500,322500,235500,-27,NA
CRANBOURNE WEST,Cranbourne West,221000,294500,242500,188500,221000,170000,-23,-1.8
CRESWICK,Creswick,157500,127500,135000,157500,185000,221000,19,8.3
CRIB POINT,Crib Point,355000,295000,320000,355000,370000,379000,2,11
CROYDON,Croydon,452000,350000,326000,452000,633500,643000,1,9.8
CURLEWIS,Curlewis,315000,210000,249000,315000,337000,470000,39,11.7
DALYSTON,Dalyston,169000,122000,139000,169000,250000,309000,24,9.5
DARLEY,Darley,270000,270000,250000,240000,270000,345000,28,8.4
DAYLESFORD,Daylesford,340000,241000,226500,340000,386500,490000,27,12.1
DEANSIDE,Deanside,329000,340500,235000,309500,329000,377000,15,NA
DENNINGTON,Dennington,132000,124000,130000,132000,140000,160000,14,3.1
DERRIMUT,Derrimut,413000,907500,413000,305000,369000,473500,28,5.8
DIAMOND CREEK,Diamond Creek,439000,433000,425000,439000,487500,621500,27,17
DIGGERS REST,Diggers Rest,284000,280000,284000,277500,289500,340000,17,9.5
