Suburb,Median House Price,Region
Ivanhoe East,1777500,Eastern
Eaglemont,1745000,Eastern
Mont Albert,1431000,Eastern
Warrandyte South,1380000,Eastern
Park Orchards,1360000,Eastern
Princes Hill,1575000,Northern
Alphington,1480000,Northern
Carlton North,1445000,Northern
Fitzroy North,1310000,Northern
Clifton Hill,1250000,Northern
Wheelers Hill,1130500,South-Eastern
Parkdale,1053000,South-Eastern
Aspendale,984000,South-Eastern
Oakleigh South,980750,South-Eastern
Clayton,962000,South-Eastern
Deepdene,2361000,Southern
Canterbury,2100000,Southern
Malvern,2000000,Southern
Albert Park,1900000,Southern
Middle Park,1880000,Southern
Bulla,1380000,Western
Aberfeldie,1350000,Western
Williamstown,1266000,Western
Strathmore,1200000,Western
Essendon West,1121000,Western
