Suburb,Median House Price
Bayswater,754100
Bayswater North,717500
Bellfield,795000
Blackburn,1206500
Blackburn North,1081000
Blackburn South,1050000
Boronia,728000
Box Hill,1201000
Briar Hill,800000
Bulleen,1182000
Burwood East,1060000
Croydon,748000
Croydon Hills,910000
Croydon North,800000
Croydon South,800000
Doncaster,1290000
Doncaster East,1200000
Donvale,1075000
Eaglemont,1745000
Eltham,885000
Eltham North,895000
Ferntree Gully,744444
Forest Hill,961500
Glen Waverley,1249000
Heathmont,885500
Heidelberg,855500
Heidelberg Heights,747500
Heidelberg West,655000
Ivanhoe,1150000
Ivanhoe East,1777500
Kilsyth,757500
Kilsyth South,1085000
Knoxfield,820000
Lower Plenty,817500
Mitcham,945500
Mont Albert,1431000
Montmorency,831500
Mount Waverley,1260000
North Warrandyte,1050000
Nunawading,997500
Park Orchards,1360000
Research,880000
Ringwood,800000
Ringwood East,846000
Ringwood North,900000
Rosanna,1000000
Scoresby,834400
St Helena,872500
Templestowe,1330000
Templestowe Lower,1150000
The Basin,635000
Vermont,932500
Vermont South,1146000
Viewbank,950000
Wantirna,917500
Wantirna South,1000000
Warrandyte,1050000
Warrandyte South,1380000
Warranwood,805000
