Row Labels,Median,,,
Eastern Metropolitan,,,max,1777500
Bayswater,754100,,min,635000
Bayswater North,717500,,,
Bellfield,795000,,,
Blackburn,1206500,,,
Blackburn North,1081000,,,
Blackburn South,1050000,,,
Boronia,728000,,,
Box Hill,1201000,,,
Briar Hill,800000,,,
Bulleen,1182000,,,
Burwood East,1060000,,,
Croydon,748000,,,
Croydon Hills,910000,,,
Croydon North,800000,,,
Croydon South,800000,,,
Doncaster,1290000,,,
Doncaster East,1200000,,,
Donvale,1075000,,,
Eaglemont,1745000,,,
Eltham,885000,,,
Eltham North,895000,,,
Ferntree Gully,744444,,,
Forest Hill,961500,,,
Glen Waverley,1249000,,,
Heathmont,885500,,,
Heidelberg,855500,,,
Heidelberg Heights,747500,,,
Heidelberg West,655000,,,
Ivanhoe,1150000,,,
Ivanhoe East,1777500,,,
Kilsyth,757500,,,
Kilsyth South,1085000,,,
Knoxfield,820000,,,
Lower Plenty,817500,,,
Mitcham,945500,,,
Mont Albert,1431000,,,
Montmorency,831500,,,
Mount Waverley,1260000,,,
North Warrandyte,1050000,,,
Nunawading,997500,,,
Park Orchards,1360000,,,
Research,880000,,,
Ringwood,800000,,,
Ringwood East,846000,,,
Ringwood North,900000,,,
Rosanna,1000000,,,
Scoresby,834400,,,
St Helena,872500,,,
Templestowe,1330000,,,
Templestowe Lower,1150000,,,
The Basin,635000,,,
Vermont,932500,,,
Vermont South,1146000,,,
Viewbank,950000,,,
Wantirna,917500,,,
Wantirna South,1000000,,,
Warrandyte,1050000,,,
Warrandyte South,1380000,,,
Warranwood,805000,,,
Northern Metropolitan,,,,
Abbotsford,1021250,,max,1575000
Alphington,1480000,,min,460000
Attwood,720000,,,
Broadmeadows,530000,,,
Brunswick,970000,,,
Brunswick East,910000,,,
Brunswick West,745000,,,
Bundoora,715000,,,
Burnley,1222005,,,
Campbellfield,520000,,,
Carlton,949250,,,
Carlton North,1445000,,,
Clifton Hill,1250000,,,
Coburg,900000,,,
Coburg North,800500,,,
Collingwood,900000,,,
Coolaroo,460000,,,
Craigieburn,536500,,,
Cremorne,1200000,,,
Dallas,480000,,,
East Melbourne,1000000,,,
Epping,560000,,,
Fairfield,1050000,,,
Fawkner,670000,,,
Fitzroy,1105500,,,
Fitzroy North,1310000,,,
Flemington,852000,,,
Glenroy,646500,,,
Greensborough,770000,,,
Greenvale,705000,,,
Hadfield,725000,,,
Jacana,531500,,,
Kalkallo,566000,,,
Kensington,841000,,,
Kingsbury,702500,,,
Lalor,620000,,,
MacLeod,760000,,,
Meadow Heights,474000,,,
Melbourne,648000,,,
Mernda,580058,,,
Mickleham,650250,,,
Mill Park,636000,,,
North Melbourne,755000,,,
Northcote,1200000,,,
Oak Park,780000,,,
Oaklands Junction,882500,,,
Parkville,1190000,,,
Pascoe Vale,750000,,,
Preston,870000,,,
Princes Hill,1575000,,,
Reservoir,690000,,,
Richmond,1043750,,,
