Suburb,Median House Price
Abbotsford,1021250
Alphington,1480000
Attwood,720000
Broadmeadows,530000
Brunswick,970000
Brunswick East,910000
Brunswick West,745000
Bundoora,715000
Burnley,1222005
Campbellfield,520000
Carlton,949250
Carlton North,1445000
Clifton Hill,1250000
Coburg,900000
Coburg North,800500
Collingwood,900000
Coolaroo,460000
Craigieburn,536500
Cremorne,1200000
Dallas,480000
East Melbourne,1000000
Epping,560000
Fairfield,1050000
Fawkner,670000
Fitzroy,1105500
Fitzroy North,1310000
Flemington,852000
Glenroy,646500
Greensborough,770000
Greenvale,705000
Hadfield,725000
Jacana,531500
Kalkallo,566000
Kensington,841000
Kingsbury,702500
Lalor,620000
MacLeod,760000
Meadow Heights,474000
Melbourne,648000
Mernda,580058
Mickleham,650250
Mill Park,636000
North Melbourne,755000
Northcote,1200000
Oak Park,780000
Oaklands Junction,882500
Parkville,1190000
Pascoe Vale,750000
Preston,870000
Princes Hill,1575000
Reservoir,690000
Richmond,1043750
Roxburgh Park,515000
South Morang,616000
Thomastown,600000
Thornbury,932500
Watsonia,782500
Watsonia North,748500
West Melbourne,890000
Westmeadows,569000
Wollert,585000
Yallambie,781000
