Suburb,Median House Price
Aspendale,984000
Aspendale Gardens,875000
Bonbeach,809750
Botanic Ridge,750000
Carrum,743000
Carrum Downs,527500
Chelsea,800000
Chelsea Heights,716000
Clarinda,793000
Clayton,962000
Clayton South,760000
Cranbourne,545000
Cranbourne East,560500
Cranbourne North,572500
Cranbourne South,937500
Cranbourne West,517250
Dandenong,559000
Dandenong North,621000
Dingley Village,854000
Doveton,469000
Edithvale,872000
Endeavour Hills,635000
Eumemmerring,555000
Frankston,605000
Frankston South,820000
Hallam,631000
Hampton Park,514000
Heatherton,757500
Keysborough,760000
Lynbrook,620000
Lyndhurst,677250
Lysterfield,730000
Mentone,870000
Mordialloc,870000
Mulgrave,854000
Narre Warren,600000
Noble Park,631000
Oakleigh South,980750
Parkdale,1053000
Patterson Lakes,695000
Rowville,883000
Sandhurst,642500
Seaford,640000
Skye,535000
Springvale,747500
Springvale South,710000
Waterways,950000
Wheelers Hill,1130500
