Suburb,Median House Price
Albert Park,1900000
Armadale,1200000
Ashburton,1605500
Ashwood,1200000
Balaclava,645500
Balwyn,1800000
Balwyn North,1670000
Beaumaris,1500000
Bentleigh,1300000
Bentleigh East,1160000
Black Rock,1525000
Brighton,1850000
Brighton East,1652500
Burwood,1239000
Camberwell,1800000
Canterbury,2100000
Carnegie,795000
Caulfield,650000
Caulfield East,999000
Caulfield North,650000
Caulfield South,1300000
Chadstone,946000
Cheltenham,950000
Deepdene,2361000
Docklands,625000
Elsternwick,1125000
Elwood,722000
Gardenvale,787500
Glen Huntly,609000
Glen Iris,1520000
Hampton,1530000
Hampton East,1150000
Hawthorn,731000
Hawthorn East,1317500
Highett,1088000
Hughesdale,1040000
Huntingdale,951500
Kew,1500000
Kew East,1750000
Kooyong,1755000
Malvern,2000000
Malvern East,1430000
McKinnon,1400000
Middle Park,1880000
Moorabbin,1035000
Murrumbeena,1140000
Notting Hill,878000
Oakleigh,1029000
Oakleigh East,920000
Ormond,981000
Port Melbourne,1200000
Prahran,1015000
Ripponlea,657500
Sandringham,1582500
South Melbourne,1200000
South Yarra,802000
Southbank,595000
St Kilda,600000
Surrey Hills,1555000
Toorak,1230000
Windsor,882500
