Suburb,h,t,u
Abbotsford,78145500,6249000,21027500
Aberfeldie,77363500,5975000,8165000
Airport West,76038001,17758000,19660000
Albanvale,4409500,0,415000
Albert Park,165535000,7162000,6574500
Albion,30501500,4006790,6705000
Alphington,76734500,4964000,4948500
Altona,66889600,11922100,17561250
Altona Meadows,15193500,541500,1257500
Altona North,92246500,14756000,5926500
Ardeer,13818500,605000,0
Armadale,175157500,16050000,49229500
Ascot Vale,191611000,24361500,17052500
Ashburton,159123500,19743000,2115500
Ashwood,80808050,21650000,10165000
Aspendale,26427000,3751000,437000
Aspendale Gardens,14712250,0,0
Attwood,10498000,0,0
Avondale Heights,114069000,5266000,6385000
Avonsleigh,0,0,0
Bacchus Marsh,1692000,0,0
Balaclava,21310500,4355000,16998000
Balwyn,356089000,30132000,37970500
Balwyn North,470481300,34697000,25296000
Bayswater,19696000,2146000,3332000
Bayswater North,10897200,0,2433200
Beaconsfield,670000,0,537000
Beaconsfield Upper,1439000,0,0
Beaumaris,109999000,18164500,5068500
Belgrave,0,0,0
Bellfield,19820500,0,1504000
Bentleigh,242392000,83657659,28809750
Bentleigh East,358041888,160281788,39465500
Berwick,30883000,0,665000
Black Rock,27231000,5696000,8470500
Blackburn,68699500,5841000,6938100
Blackburn North,37353000,3771000,2071000
Blackburn South,35351000,2837500,2165000
Bonbeach,11030500,2405000,772000
Boronia,31018600,740000,2635000
Botanic Ridge,750000,0,0
Box Hill,94451888,5087500,13066500
Braybrook,45927000,8220700,1936500
Briar Hill,12292500,1745000,1962000
Brighton,449032888,94618000,85349050
Brighton East,350731300,67206500,20541500
Broadmeadows,37479500,3590000,3302500
Brookfield,1994000,0,0
Brooklyn,10647000,6855499,4244600
Brunswick,298091000,30809000,49581650
Brunswick East,93360000,19451000,25340500
Brunswick West,114324700,23331500,30781100
Bulla,665000,0,0
Bulleen,129638000,13985900,8564000
Bullengarook,4580000,0,0
Bundoora,91459238,8889500,5028000
Burnley,13135010,0,926000
Burnside,4342600,0,0
Burnside Heights,6192000,0,0
Burwood,149377066,28262600,15576500
Burwood East,39850800,780000,3107000
Cairnlea,14683200,0,0
Camberwell,440320000,34286400,46510800
Campbellfield,8429000,350000,0
Canterbury,174369500,11391000,17072500
Carlton,58122100,6011700,27219250
